"ID","Time","Scramble","Length_Scramble","Solution","Length_Solution","TPS","Target"
"1","19.55","R2 F2 U' F2 R' U R U F'","9","F U' R' U' R' F2 U' F2","8","0.434444","0"
"2","12.35","U R U2 F' R2 F2 R2 F' U","9","U' F' R2 F' U2 R' U'","7","0.274444","1"
"3","13.75","U R' U' F2 R U2 F2 U2 F2","9","F2 R F2 U' R U'","6","0.305556","1"
"4","8.27","F2 R U2 F' U2 R2 F' R2 U'","9","U R2 F U2 F' U2' R F2","8","0.183778","1"
"5","13.69","F' U2 F2 R2 F2 R U' F U2","9","U2 F' U R F2 R2 U2 F","8","0.304222","1"
"6","28.64","R2 U R2 U' R F' U2 F R'","9","R F' U2 F R' U R2 U' R2","9","0.636444","0"
"7","10.84","F R' F2 U2 F' U' F R' F'","9","R U F' U R' F U2 F","8","0.240889","1"
"8","15.61","F' U' F2 U R F' R' F' U2","9","U R U F2 R U' R' F'","8","0.346889","0"
"9","18.06","U' R2 F2 R' F R F R U","9","U2 R U2 F' R2 U' R2","7","0.401333","0"
"10","15.20","R' F U2 R U F R U R'","9","R2 F R U F' R U F2","8","0.337778","0"
"11","16.84","R' U' F' R F2 R U2 R2 F","9","F' R2 U' F R U' F2 U'","8","0.374222","0"
"12","10.43","R2 U' R' F' U R2 U F' U'","9","U F2 U R F' R2 F' R2","8","0.231778","1"
"13","10.19","U2 F' R U R' F R' F2 R2","9","U2 R F' U2 R2 U F' R2","8","0.226444","1"
"14","11.25","U' F2 R F U2 F U' R2 U","9","U' R U' F' R2 F' U F' U","9","0.250000","1"
"15","5.22","F' R2 U' R' F2 R' F' U2 F","9","R2 U R' U F U2 R U","8","0.116000","1"
"16","13.99","F2 R2 U F R2 F R F2 U2","9","R F' U F' R' U2 F R2","8","0.310889","1"
"17","21.10","F' R U R2 U2 R U F R U","9","F' U F2 R U F2 U' R F2","9","0.468889","0"
"18","10.87","U' F' R2 U' R2 U2 R2 F' U'","9","U F U2 R2 U' R2 F U","8","0.241556","1"
"19","9.26","F' U' F' U' F' R2 F2 U' R'","9","U R F U' F R' U'","7","0.205778","1"
"20","16.31","R' F' U R' U R U' F2 R2","9","U2 R F2 R' F R2 F R2 U","9","0.362444","0"
"21","7.91","F2 U' F' R' U2 R' U2 F U'","9","U F' U R' U F' R2 U' F'","9","0.175778","1"
"22","8.65","R U2 R U2 R2 F R2 U' F2","9","F2 U' R2 F R U2 R'","7","0.192222","1"
"23","14.51","R U2 R F' U R2 F2 U F2","9","R2 F' R2 U R' F2 R F'","8","0.322444","0"
"24","10.59","R' F2 U' F' R F R' U F","9","F R U F' U' F","6","0.235333","1"
"25","19.29","R2 F2 U' F U2 R F U2 F","9","F R2 U R' F2 U' R' U2","8","0.428667","0"
"26","13.11","F' U F U2 R' F' R F' R","9","F2 U F2 U R F U2 F2","8","0.291333","1"
"27","13.24","U' F2 U' R' U' F2 R' U F2","9","U2 F' R F' R' U F","7","0.294222","1"
"28","13.06","R F U' F R U' R U' R","9","R' U R2 U F' U R U' R2","9","0.290222","1"
"29","21.88","U F' U F' U' R' U2 F2 R2","9","F2 U' F2 R U F2 R F2","8","0.486222","0"
"30","10.00","R2 F2 U' F2 R' U R U F'","9","F U' R' U' R'F2 U' F2","8","0.222222","1"
"31","6.03","U' F2 R U2 R' U' F R' F2","9","U' R2 U R F' U2","7","0.134000","1"
"32","14.26","U F R2 U2 F' R2 F2 U' R","9","R F2 R2 U' F' U2 R2 F' U'","9","0.316889","0"
"33","9.52","U F' R2 F2 U' R' F2 R2 F2","9","F U2 F U' F' U F'","7","0.211556","1"
"34","6.92","F R U2 R U2 F R U' F2","9","R' U F2 U' R F' U' R U","9","0.153778","1"
"35","11.79","U' F2 R F2 U R' F' U' F","9","F2 R2 U' F' R' F U'","7","0.262000","1"
"36","8.73","F' U2 R F' U R U' F R'","9","R F' U R' U' F R' U2 F","9","0.194000","1"
"37","11.19","R' F' U' F U R' F' U' F2","9","U R F' U F2 U2 F' R","8","0.248667","1"
"38","17.59","R' U R2 F' U F' R' U2 F","9","U2 R2 F2 U F' U R' U2 R'","9","0.390889","0"
"39","16.28","U2 R F U2 F U2 R2 U' R2","9","U2 R' F' U F' R2 F' R","8","0.361778","0"
"40","11.96","F' R U' R F R2 F2 U' R","9","U' R' F' R2 F' R2 U F R'","9","0.265778","1"
"41","38.95","R F2 U F' R2 U' F2 U' R'","9","R U R' U R' F R F","8","0.865556","0"
"42","15.33","F U F2 R2 F' R' F R F","9","R F R' F' R F2 U' F'","8","0.340667","0"
"43","6.03","U R F U F U F U R'","9","R2 U F U F U","6","0.134000","1"
"44","24.34","U2 F2 R2 F U2 R2 u' U' R2","9","R2 U F U2 F' U2 F2 R2","8","0.540889","0"
"45","25.19","R' F2 R F U2 F2 R' F' R2","9","U F2 U2 R F' R U2 R' F2","9","0.559778","0"
"46","17.92","R U R' F2 R2 U2 R U' R2","9","R2 U R F2 R2 U2 R' U' R'","9","0.398222","0"
"47","7.63","U2 F' U R' F R U2 F' R2","9","R2 F U2 R' F' R U' F U2","9","0.169556","1"
"48","12.55","U' R F R' F2 U' R' F' R'","9","U' F U F' R F2 R F U","9","0.278889","1"
"49","20.44","F2 R2 F' R' F2 U2 F U2 F","9","F R2 U R2 U2 F R U2 R2","9","0.454222","0"
"50","32.56","U F U2 F2 U2 R' F' R2 U2","9","U2 R2 F R F2 U2 F U'","8","0.723556","0"
"51","10.04","F2 R2 F R2 U' R' U2 R' U'","9","F R F2 R F R2 U' F2 U2","9","0.223111","1"
"52","9.01","U R' F2 R' F2 R F U2 F2 R","10","U F' R U2 R2 F R F U2","9","0.200222","1"
"53","16.21","R2 U2 F U F U2 R' F U'","9","F U' F U2 R' U' F' R2 U2","9","0.360222","0"
"54","12.37","U' R F2 U R F U2 R F","9","U' F' U2 R' F' R' U' R","8","0.274889","1"
"55","12.18","U F2 R' U R2 U' R2 U' F R'","10","U F' U' F R2 F R' F2 R U2","10","0.270667","1"
"56","8.91","U2 R2 F R' U2 F U2","7","F2 U' R2 F R' U2 F2","7","0.198000","1"
"57","16.38","R2 U R2 F' U F2 U'","7","F U2 F' R U2 F' U2","7","0.364000","0"
"58","10.04","R F' U2 F' R F' U2 R2 U F2","10","U2 F R' U2 F R F2 R U'","9","0.223111","1"
"59","17.07","U' F R2 F' R2 F U R2","8","R2 F' U' F2 U F2 U' F","8","0.379333","0"
"60","13.93","U R' U2 F R' U2 F2 R' U2 R","10","U F R F U' F2 R F' U2 F","10","0.309556","1"
"61","13.49","U' F' R' F U' F R2 U' R' F2","10","U F' R U' F U2 F2 R' F' U'","10","0.299778","1"
"62","18.32","U2 F U2 F2 R' F U F2 R'","9","U F' U F' U R F' R' F","10","0.407111","0"
"63","12.21","F R2 F U F' R F2 U'","8","F U2 R' F R' F' R2 F'","8","0.271333","1"
"64","8.21","R F2 U' F U F2 U' R F R2","10","U R F' U F R U R2 U2 F2","10","0.182444","1"
"65","7.45","U' F2 R2 U F' U F' R' F'","9","U F U F' R F' R2 U2 F","9","0.165556","1"
"66","9.45","R U R U2 F2 U R U' F","9","U' R F' U F R2 U2 R U'","9","0.210000","1"
"67","8.47","R F U R2 F2 U2 F' U R2","9","R2 F' U' F2 U F'","6","0.188222","1"
"68","13.44","F2 U R' U2 R' F2 U' R","8","R U' F R2 U' R' F' R","8","0.298667","0"
"69","18.23","R' F2 U2 F' R' F2 R' U' F2","9","U2 F U R2 U F U2 F2 R","9","0.405111","0"
"70","16.38","R' F U2 F2 R' F' R F'","8","U F' U R F2 U2 F' U","8","0.364000","0"
"71","17.23","U R F' U' F' U R F' U R","10","U F R U' R2 U R2 U' F2 R2","10","0.382889","0"
"72","13.41","U' R' U2 R' U2 F U R U' F","10","U' R F' U' R' U2 F R2 F U","10","0.298000","1"
"73","10.56","U R2 U R F2 R' U' R2 U2 F'","10","U R2 F2 U' F' U2 F R F2 U'","10","0.234667","1"
"74","9.43","R U F R2 U2 F' U F","8","U' R' U F2 R2 U' R' F'","8","0.209556","1"
"75","8.56","F R F2 U' R F R2 F2 U'","9","F U2 R2 U' R' U R2 F' R'","9","0.190222","1"
"76","17.10","U' F U' F' R U2 F2 R U F'","10","U R U2 R F' R' F' U R' U2","10","0.380000","0"
"77","16.24","R2 U2 R F2 R' F R' F2 U","9","R F' U F2 U R' F R2 F","9","0.360889","0"
"78","8.3","F' R F2 U R' F' U F2 R","9","R' U2 F' R U R' F2 U' R","9","0.184444","1"
"79","23.1","U2 R2 F' R F R' U F U F","10","U R2 U' R U F' R F R' U2","10","0.513333","0"
"80","12.98","R2 U' F2 R' U R'","6","R F' R U2 F U2","6","0.288444","1"
